year,month,quality_score,SO2,NO2,PM2.5,RSPM,SPM,high_confidence_count,medium_confidence_count,low_confidence_count,date
2004,4,91.68167993630574,11.251327433628319,27.573007582139848,,122.81414179104479,201.61514358108107,859,397,0,2004-04-01
2004,5,91.79202867383513,11.279132856006365,26.571075514874142,,120.13153138075313,192.55754372623576,971,424,0,2004-05-01
2004,6,91.6317870439315,11.577831632653062,26.99698023715415,,107.34201577563542,167.83032232704403,921,422,0,2004-06-01
2004,7,91.70495476687543,11.017525450274078,27.058333333333334,,106.40818403908794,159.4791654247392,1009,428,0,2004-07-01
2004,8,91.70666168782674,10.711482412060302,25.522909379968205,,104.60889956331879,153.2618203688853,942,397,0,2004-08-01
2004,9,91.66169798657718,11.043041158536585,26.38220714285714,,107.04600314712825,154.34002141327622,1023,467,0,2004-09-01
2004,10,91.9235734870317,11.524860111910472,27.479954682779457,,121.68522438611346,183.44123391370175,991,397,0,2004-10-01
2004,11,91.5337520798669,11.87972641509434,31.49732984293194,,135.68115,199.1477972027972,806,396,0,2004-11-01
2004,12,91.32192642140468,12.508554957724826,30.802241379310345,,147.1788836104513,214.97235085227274,997,498,0,2004-12-01
2005,1,79.81865925925925,13.280898876404494,28.943659711075444,,123.00078616352201,249.357621440536,0,1318,32,2005-01-01
2005,2,79.93619771863118,13.272542072630648,29.768582995951416,,112.9587044534413,240.7117039586919,0,1291,24,2005-02-01
2005,3,79.95026666666666,12.798770491803278,28.76754122938531,,113.50036954915004,238.8301282051282,0,1403,22,2005-03-01
2005,4,79.82121495327102,13.290715502555365,28.635376260667183,,116.55428134556576,251.78369652945923,0,1374,17,2005-04-01
2005,5,79.67383922829582,13.25746153846154,28.815202231520225,,115.39819318971507,248.5014367816092,0,1533,22,2005-05-01
2005,6,79.02698924731183,12.379736024844721,26.728823114869623,,104.05078683834049,234.45196506550218,0,1540,41,2005-06-01
2005,7,78.9761178509532,12.263793103448277,27.378795811518327,,97.20400258231116,208.57901726427622,0,1706,25,2005-07-01
2005,8,79.04352708803611,12.67536945812808,27.634099616858236,,94.00821225521162,201.6510152284264,0,1736,36,2005-08-01
2005,9,79.18593162393162,12.206392045454544,27.131410256410255,,93.13274890419537,194.44337194337194,0,1719,36,2005-09-01
