city,High,Low,Medium,total,high_pct,medium_pct,low_pct
Saharanpur,0.0,0.0,46.0,46.0,0.0,100.0,0.0
Salem,122.0,3.0,1253.0,1378.0,8.85,90.93,0.22
Sambalpur,122.0,0.0,819.0,941.0,12.96,87.04,0.0
Sangareddy,327.0,0.0,322.0,649.0,50.39,49.61,0.0
Sangli,104.0,0.0,1533.0,1637.0,6.35,93.65,0.0
Sangrur,0.0,0.0,129.0,129.0,0.0,100.0,0.0
Sanguem,200.0,0.0,4.0,204.0,98.04,1.96,0.0
Sankrail,337.0,0.0,468.0,805.0,41.86,58.14,0.0
Saraikela Kharsawan,0.0,0.0,117.0,117.0,0.0,100.0,0.0
Sarigam,24.0,0.0,0.0,24.0,100.0,0.0,0.0
Satna,186.0,21.0,1207.0,1414.0,13.15,85.36,1.49
Shillong,160.0,29.0,1687.0,1876.0,8.53,89.93,1.55
Shimla,0.0,42.0,3261.0,3303.0,0.0,98.73,1.27
Shimoga,0.0,0.0,309.0,309.0,0.0,100.0,0.0
Sibsagar,0.0,0.0,240.0,240.0,0.0,100.0,0.0
Silchar,0.0,0.0,75.0,75.0,0.0,100.0,0.0
Silcher,0.0,0.0,853.0,853.0,0.0,100.0,0.0
Silvassa,0.0,0.0,294.0,294.0,0.0,100.0,0.0
Sindri,33.0,3.0,884.0,920.0,3.59,96.09,0.33
Singrauli,94.0,12.0,347.0,453.0,20.75,76.6,2.65
Sivasagar,0.0,0.0,853.0,853.0,0.0,100.0,0.0
Solapur,420.0,0.0,2208.0,2628.0,15.98,84.02,0.0
South Suburban,258.0,0.0,782.0,1040.0,24.81,75.19,0.0
Srikakulam,0.0,0.0,315.0,315.0,0.0,100.0,0.0
Sunder Nagar,0.0,0.0,1115.0,1115.0,0.0,100.0,0.0
Surat,837.0,6.0,2598.0,3441.0,24.32,75.5,0.17
Talcher,368.0,2.0,1591.0,1961.0,18.77,81.13,0.1
Tarapur,0.0,107.0,485.0,592.0,0.0,81.93,18.07
Tezpur,0.0,0.0,839.0,839.0,0.0,100.0,0.0
Thane,256.0,103.0,3261.0,3620.0,7.07,90.08,2.85
Thiruvananthapuram,429.0,0.0,2117.0,2546.0,16.85,83.15,0.0
Thissur,0.0,0.0,461.0,461.0,0.0,100.0,0.0
Thoothukudi,226.0,20.0,2476.0,2722.0,8.3,90.96,0.73
Tilamol,111.0,0.0,93.0,204.0,54.41,45.59,0.0
Tinsukia,0.0,0.0,840.0,840.0,0.0,100.0,0.0
Tirupati,49.0,4.0,933.0,986.0,4.97,94.62,0.41
Trichy,8.0,0.0,1175.0,1183.0,0.68,99.32,0.0
Trivandrum,0.0,1.0,1934.0,1935.0,0.0,99.95,0.05
Trivendrum,0.0,3.0,421.0,424.0,0.0,99.29,0.71
Tumkur,0.0,0.0,202.0,202.0,0.0,100.0,0.0
Tura,0.0,0.0,432.0,432.0,0.0,100.0,0.0
Turicorin,0.0,0.0,41.0,41.0,0.0,100.0,0.0
Tuticorin,0.0,4.0,243.0,247.0,0.0,98.38,1.62
ULUBERIA,0.0,0.0,104.0,104.0,0.0,100.0,0.0
Udaipur,432.0,8.0,3301.0,3741.0,11.55,88.24,0.21
Ujjain,391.0,88.0,1850.0,2329.0,16.79,79.43,3.78
Ulhasnagar,118.0,0.0,832.0,950.0,12.42,87.58,0.0
Umsning,0.0,0.0,68.0,68.0,0.0,100.0,0.0
Una,0.0,3.0,1151.0,1154.0,0.0,99.74,0.26
Unnao,0.0,0.0,388.0,388.0,0.0,100.0,0.0
Usgao,286.0,0.0,19.0,305.0,93.77,6.23,0.0
VAPI,24.0,0.0,0.0,24.0,100.0,0.0,0.0
Vadodara,800.0,0.0,2168.0,2968.0,26.95,73.05,0.0
Vapi,579.0,7.0,1583.0,2169.0,26.69,72.98,0.32
Varanasi,132.0,53.0,1442.0,1627.0,8.11,88.63,3.26
Vasco,241.0,2.0,1150.0,1393.0,17.3,82.56,0.14
Vijayawada,0.0,2.0,2091.0,2093.0,0.0,99.9,0.1
Visakhapatnam,500.0,3.0,6605.0,7108.0,7.03,92.92,0.04
Vishakhapatnam,0.0,2.0,295.0,297.0,0.0,99.33,0.67
Vizianagaram,0.0,0.0,282.0,282.0,0.0,100.0,0.0
Warangal,29.0,0.0,601.0,630.0,4.6,95.4,0.0
Wayanad,0.0,0.0,512.0,512.0,0.0,100.0,0.0
West Singhbhum,0.0,0.0,151.0,151.0,0.0,100.0,0.0
Yamuna Nagar,98.0,1.0,230.0,329.0,29.79,69.91,0.3
Yamunanagar,0.0,12.0,208.0,220.0,0.0,94.55,5.45
