city,quality_score_mean,quality_score_median,quality_score_min,quality_score_max,quality_score_std,confidence_level_<lambda>,missing_values_percentage_mean,outlier_count_sum,SO2_mean,SO2_median,NO2_mean,NO2_median,PM2.5_mean,PM2.5_median,RSPM_mean,RSPM_median,SPM_mean,SPM_median,total_measurements
Kota,85.51812485051423,82.35,46.47,94.12,5.27581712074874,13.80052618990672,14.200841903850751,187,8.538627020880087,7.0,32.65551300694862,29.4,,,123.34892436329532,114.0,241.23846252733514,228.0,4181
Kothur,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,8.979166666666666,8.5,17.270833333333332,18.0,,,106.46875,107.0,,,96
Kottayam,85.8741127348643,88.24,47.35,94.12,4.283551499157274,8.01670146137787,14.096659707724426,8,5.458297693922013,5.6,19.2244319131203,19.6,,,52.48298565519521,48.0,55.26421944694023,49.0,2395
Kotttayam,80.30416666666666,82.35,52.35,82.35,3.8591827643157286,0.0,19.487499999999997,0,2.2842857142857143,1.45,18.247142857142858,18.15,,,,,97.40186915887851,72.0,144
Kozhikode,82.37270198170732,88.24,46.47,94.12,7.667261522466178,8.231707317073171,17.604432164634147,0,2.260475651189128,2.0,12.28874916315873,10.2,,,42.10323719035669,37.0,83.67267461690808,77.0,2624
Kundaim,93.86415458937199,94.12,82.35,94.12,1.6709343166471944,97.58454106280193,6.1358454106280185,0,5.4088669950738915,5.0,10.975247524752476,10.0,20.203883495145632,20.0,57.42512077294686,58.0,22.75576923076923,21.5,207
Kurnool,86.04081680280046,88.24,64.71000000000001,88.24,3.0822449088039954,0.0,13.95918319719953,0,4.1633918128654965,4.0,10.650410316529893,9.0,,,78.042203985932,79.0,173.4375,173.0,857
Lakhimpur,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,6.391451292246521,6.0,14.634592445328032,14.3,,,83.34393638170974,68.0,,,503
Latur,89.058384009009,88.24,82.35,94.12,2.151773963481961,14.63963963963964,10.91909346846847,8,6.5690919345741685,5.0,16.830795262267344,15.0,,,100.8094431905982,94.0,242.3308080814394,229.5,1776
Lote,85.16432601880877,88.24,70.59,94.12,3.793530813880392,1.044932079414838,14.30798328108673,101,21.921593291404612,12.0,17.556432432432434,11.5,,,97.78638743455497,96.0,133.7116704805492,125.0,957
Lucknow,85.61454794962867,88.24,46.47,94.12,5.406964586509162,13.577655795931548,14.319258960284145,52,9.927344897181312,8.0,31.21222741661536,31.0,,,188.65121944078416,186.0,384.9630995434246,396.565,6194
